variant,final_size_fraction_mean,final_size_fraction_std,peak_infected_mean,peak_infected_day_mean,peak_fractal_dim_mean,peak_fractal_dim_std,peak_fractal_day_mean,early_slope_D_mean,early_slope_D_std
delta,0.729032,0.4137874182796411,245.34,327.42,0.8534806084236871,0.4847217791586427,313.18,0.012980993656318177,0.009928909441696157
omicron,0.95911,0.19774482655324116,420.9,179.04,1.158767913506982,0.2393463231340297,166.48,0.03305385536350115,0.007099835676816072
original,0.059787999999999994,0.0634915602297515,21.12,252.08,0.5316242484232562,0.3120043436949219,279.62,0.006642782053009801,0.006943657005019939
